Pattern String,Frequency,Sequence Support,Average Pattern Frequency,Proportional Pattern Frequency
DDBBBDD,8,0.166666667,0.333333333,1.80E-04
DDBBDBB,4,0.166666667,0.166666667,9.00E-05
DDCDDDC,4,0.166666667,0.166666667,9.00E-05
DDBBDDD,4,0.166666667,0.166666667,9.00E-05
FCCBBBB,7,0.166666667,0.291666667,1.57E-04
FCCBBBC,4,0.166666667,0.166666667,9.00E-05
FCCBBCC,5,0.166666667,0.208333333,1.12E-04
BDDDCBB,4,0.166666667,0.166666667,9.00E-05
DDDDDCB,7,0.166666667,0.291666667,1.57E-04
DDDDDEE,4,0.166666667,0.166666667,9.00E-05
DDDDCEC,4,0.166666667,0.166666667,9.00E-05
FBBBBBB,9,0.166666667,0.375,2.02E-04
CDCCCCC,8,0.166666667,0.333333333,1.80E-04
CDCCDDD,5,0.166666667,0.208333333,1.12E-04
BCG,3,0.125,0.125,6.73E-05
DHD,3,0.125,0.125,6.73E-05
BEH,3,0.125,0.125,6.73E-05
CHB,3,0.125,0.125,6.73E-05
BFG,5,0.125,0.208333333,1.12E-04
BHC,3,0.125,0.125,6.73E-05
BHB,3,0.125,0.125,6.73E-05
HBD,4,0.125,0.166666667,8.98E-05
HDH,3,0.125,0.125,6.73E-05
HEF,3,0.125,0.125,6.73E-05
HFB,3,0.125,0.125,6.73E-05
GDC,3,0.125,0.125,6.73E-05
GDE,3,0.125,0.125,6.73E-05
FBH,4,0.125,0.166666667,8.98E-05
FDG,6,0.125,0.25,1.35E-04
FED,6,0.125,0.25,1.35E-04
ECH,3,0.125,0.125,6.73E-05
DBG,4,0.125,0.166666667,8.98E-05
CEDC,5,0.125,0.208333333,1.12E-04
CEFB,5,0.125,0.208333333,1.12E-04
BBCH,3,0.125,0.125,6.74E-05
DDBE,6,0.125,0.25,1.35E-04
DDCH,3,0.125,0.125,6.74E-05
FFCE,4,0.125,0.166666667,8.98E-05
BBGC,4,0.125,0.166666667,8.98E-05
FFDB,4,0.125,0.166666667,8.98E-05
EGGG,7,0.125,0.291666667,1.57E-04
BBHD,4,0.125,0.166666667,8.98E-05
FFBF,3,0.125,0.125,6.74E-05
DDEH,3,0.125,0.125,6.74E-05
HHBD,4,0.125,0.166666667,8.98E-05
FFEB,3,0.125,0.125,6.74E-05
FFEC,4,0.125,0.166666667,8.98E-05
DDGG,3,0.125,0.125,6.74E-05
HHEF,3,0.125,0.125,6.74E-05
HHEE,3,0.125,0.125,6.74E-05
HHDH,3,0.125,0.125,6.74E-05
GEEC,6,0.125,0.25,1.35E-04
ECFD,3,0.125,0.125,6.74E-05
ECHH,3,0.125,0.125,6.74E-05
HDDB,3,0.125,0.125,6.74E-05
FBFF,3,0.125,0.125,6.74E-05
FBHH,3,0.125,0.125,6.74E-05
FBGG,3,0.125,0.125,6.74E-05
HDHH,3,0.125,0.125,6.74E-05
BGBB,6,0.125,0.25,1.35E-04
CFBF,3,0.125,0.125,6.74E-05
CFCG,4,0.125,0.166666667,8.98E-05
CFDG,4,0.125,0.166666667,8.98E-05
CFFB,4,0.125,0.166666667,8.98E-05
CFEB,3,0.125,0.125,6.74E-05
DEBE,9,0.125,0.375,2.02E-04
DEBD,4,0.125,0.166666667,8.98E-05
CFGG,5,0.125,0.208333333,1.12E-04
DECE,4,0.125,0.166666667,8.98E-05
BCEF,3,0.125,0.125,6.74E-05
BCFE,5,0.125,0.208333333,1.12E-04
DEFB,4,0.125,0.166666667,8.98E-05
CBBG,6,0.125,0.25,1.35E-04
CBCH,3,0.125,0.125,6.74E-05
CBFE,3,0.125,0.125,6.74E-05
DEHH,3,0.125,0.125,6.74E-05
FGGC,3,0.125,0.125,6.74E-05
FCDE,3,0.125,0.125,6.74E-05
FCBG,3,0.125,0.125,6.74E-05
GFFF,3,0.125,0.125,6.74E-05
FCFD,3,0.125,0.125,6.74E-05
FCEC,9,0.125,0.375,2.02E-04
FCED,3,0.125,0.125,6.74E-05
FCEE,4,0.125,0.166666667,8.98E-05
GBBG,4,0.125,0.166666667,8.98E-05
GBCD,3,0.125,0.125,6.74E-05
FCGG,4,0.125,0.166666667,8.98E-05
BHDD,4,0.125,0.166666667,8.98E-05
BHHE,3,0.125,0.125,6.74E-05
DFCD,3,0.125,0.125,6.74E-05
BDEC,7,0.125,0.291666667,1.57E-04
DFEE,3,0.125,0.125,6.74E-05
DFFH,3,0.125,0.125,6.74E-05
CCDH,3,0.125,0.125,6.74E-05
GGBC,4,0.125,0.166666667,8.98E-05
EEDB,3,0.125,0.125,6.74E-05
GGDD,3,0.125,0.125,6.74E-05
GGCD,4,0.125,0.166666667,8.98E-05
FHHF,3,0.125,0.125,6.74E-05
GGCF,4,0.125,0.166666667,8.98E-05
EEHH,5,0.125,0.208333333,1.12E-04
FDCE,3,0.125,0.125,6.74E-05
GGGE,8,0.125,0.333333333,1.80E-04
DBDF,7,0.125,0.291666667,1.57E-04
HFBB,3,0.125,0.125,6.74E-05
DBFC,3,0.125,0.125,6.74E-05
FDCB,5,0.125,0.208333333,1.12E-04
DBHH,3,0.125,0.125,6.74E-05
GCBD,5,0.125,0.208333333,1.12E-04
HBHH,4,0.125,0.166666667,8.98E-05
BEBD,5,0.125,0.208333333,1.12E-04
BECE,3,0.125,0.125,6.74E-05
BECC,13,0.125,0.541666667,2.92E-04
BEDC,3,0.125,0.125,6.74E-05
CHHC,4,0.125,0.166666667,8.98E-05
DGGC,4,0.125,0.166666667,8.98E-05
EFBB,7,0.125,0.291666667,1.57E-04
CDEB,4,0.125,0.166666667,8.98E-05
EFDD,5,0.125,0.208333333,1.12E-04
EFCC,4,0.125,0.166666667,8.98E-05
DCBH,3,0.125,0.125,6.74E-05
EFFB,6,0.125,0.25,1.35E-04
EFFD,4,0.125,0.166666667,8.98E-05
FECD,6,0.125,0.25,1.35E-04
FEDD,5,0.125,0.208333333,1.12E-04
EBBG,3,0.125,0.125,6.74E-05
DCHC,3,0.125,0.125,6.74E-05
FEED,4,0.125,0.166666667,8.98E-05
FEEE,5,0.125,0.208333333,1.12E-04
FEHH,3,0.125,0.125,6.74E-05
HCBB,4,0.125,0.166666667,8.98E-05
HCDC,8,0.125,0.333333333,1.80E-04
HCBH,3,0.125,0.125,6.74E-05
HCCB,4,0.125,0.166666667,8.98E-05
BDECB,4,0.125,0.166666667,8.99E-05
FFCFF,3,0.125,0.125,6.74E-05
FFCCE,3,0.125,0.125,6.74E-05
DBCFC,5,0.125,0.208333333,1.12E-04
DBCDB,4,0.125,0.166666667,8.99E-05
EDCBB,3,0.125,0.125,6.74E-05
EEFEE,3,0.125,0.125,6.74E-05
EDCBD,3,0.125,0.125,6.74E-05
GBBBC,6,0.125,0.25,1.35E-04
DBCCF,3,0.125,0.125,6.74E-05
DCFBB,3,0.125,0.125,6.74E-05
BDDDF,3,0.125,0.125,6.74E-05
CFDDB,3,0.125,0.125,6.74E-05
CFFBB,4,0.125,0.166666667,8.99E-05
FFDFF,3,0.125,0.125,6.74E-05
EDDEF,4,0.125,0.166666667,8.99E-05
FFDCC,3,0.125,0.125,6.74E-05
EDDDC,5,0.125,0.208333333,1.12E-04
EDDBE,3,0.125,0.125,6.74E-05
DBDCF,3,0.125,0.125,6.74E-05
CEBCC,3,0.125,0.125,6.74E-05
BCBFC,3,0.125,0.125,6.74E-05
BCBCB,7,0.125,0.291666667,1.57E-04
CFEEC,4,0.125,0.166666667,8.99E-05
BCBBD,4,0.125,0.166666667,8.99E-05
ECBGG,3,0.125,0.125,6.74E-05
ECBCB,3,0.125,0.125,6.74E-05
ECBCC,6,0.125,0.25,1.35E-04
EEHHH,4,0.125,0.166666667,8.99E-05
EDEDE,6,0.125,0.25,1.35E-04
DCHHH,3,0.125,0.125,6.74E-05
GGCBC,3,0.125,0.125,6.74E-05
BCCEC,3,0.125,0.125,6.74E-05
CECEC,4,0.125,0.166666667,8.99E-05
BDFFB,3,0.125,0.125,6.74E-05
CFFDD,4,0.125,0.166666667,8.99E-05
BCCDE,8,0.125,0.333333333,1.80E-04
CEEDE,3,0.125,0.125,6.74E-05
ECCFC,7,0.125,0.291666667,1.57E-04
ECCFF,3,0.125,0.125,6.74E-05
ECCEE,4,0.125,0.166666667,8.99E-05
ECCDE,3,0.125,0.125,6.74E-05
ECCCD,5,0.125,0.208333333,1.12E-04
ECCBF,3,0.125,0.125,6.74E-05
ECCBC,4,0.125,0.166666667,8.99E-05
CEDEC,3,0.125,0.125,6.74E-05
BBCDF,5,0.125,0.208333333,1.12E-04
BBCEC,4,0.125,0.166666667,8.99E-05
BBCED,3,0.125,0.125,6.74E-05
CEFFF,4,0.125,0.166666667,8.99E-05
BCFCF,6,0.125,0.25,1.35E-04
BCFBD,3,0.125,0.125,6.74E-05
BCFBC,3,0.125,0.125,6.74E-05
ECDEC,3,0.125,0.125,6.74E-05
ECDDB,3,0.125,0.125,6.74E-05
ECDCD,3,0.125,0.125,6.74E-05
ECDCC,5,0.125,0.208333333,1.12E-04
ECDCB,4,0.125,0.166666667,8.99E-05
GGEEC,4,0.125,0.166666667,8.99E-05
HHBBC,3,0.125,0.125,6.74E-05
HHBBD,3,0.125,0.125,6.74E-05
CDBDD,3,0.125,0.125,6.74E-05
DFBBC,3,0.125,0.125,6.74E-05
HHBHH,4,0.125,0.166666667,8.99E-05
BBBEB,5,0.125,0.208333333,1.12E-04
CDBCB,4,0.125,0.166666667,8.99E-05
CDBCF,8,0.125,0.333333333,1.80E-04
CDDFB,3,0.125,0.125,6.74E-05
BBDDE,6,0.125,0.25,1.35E-04
BBDCD,4,0.125,0.166666667,8.99E-05
BBDCE,3,0.125,0.125,6.74E-05
EBBGG,3,0.125,0.125,6.74E-05
EBBEC,4,0.125,0.166666667,8.99E-05
EBBEE,3,0.125,0.125,6.74E-05
EBBDB,3,0.125,0.125,6.74E-05
FDBBB,3,0.125,0.125,6.74E-05
FDBBC,3,0.125,0.125,6.74E-05
EBBCF,3,0.125,0.125,6.74E-05
EBBCB,4,0.125,0.166666667,8.99E-05
FEEBB,3,0.125,0.125,6.74E-05
CDCHH,3,0.125,0.125,6.74E-05
CDCDE,3,0.125,0.125,6.74E-05
CDCDF,3,0.125,0.125,6.74E-05
DFCBC,3,0.125,0.125,6.74E-05
DFCBB,3,0.125,0.125,6.74E-05
CCBCE,4,0.125,0.166666667,8.99E-05
DEBBE,10,0.125,0.416666667,2.25E-04
DEBBC,3,0.125,0.125,6.74E-05
CDEDD,4,0.125,0.166666667,8.99E-05
CDEDE,3,0.125,0.125,6.74E-05
CCBBG,4,0.125,0.166666667,8.99E-05
BBEDD,10,0.125,0.416666667,2.25E-04
BBEEC,5,0.125,0.208333333,1.12E-04
HDHHH,3,0.125,0.125,6.74E-05
HBBBD,3,0.125,0.125,6.74E-05
BBECC,11,0.125,0.458333333,2.47E-04
BBECB,5,0.125,0.208333333,1.12E-04
BBECF,6,0.125,0.25,1.35E-04
FDCCB,4,0.125,0.166666667,8.99E-05
EBCCD,3,0.125,0.125,6.74E-05
EBCCC,3,0.125,0.125,6.74E-05
ECFCB,4,0.125,0.166666667,8.99E-05
ECFBB,3,0.125,0.125,6.74E-05
HHDBB,3,0.125,0.125,6.74E-05
HHDDB,3,0.125,0.125,6.74E-05
HHDHH,3,0.125,0.125,6.74E-05
DFDDB,4,0.125,0.166666667,8.99E-05
CCCEF,3,0.125,0.125,6.74E-05
CCCED,4,0.125,0.166666667,8.99E-05
DFFFF,5,0.125,0.208333333,1.12E-04
DECCD,3,0.125,0.125,6.74E-05
DECDE,5,0.125,0.208333333,1.12E-04
CDFFC,3,0.125,0.125,6.74E-05
CCCDB,4,0.125,0.166666667,8.99E-05
DECBC,6,0.125,0.25,1.35E-04
BBFFB,5,0.125,0.208333333,1.12E-04
HCDCH,4,0.125,0.166666667,8.99E-05
BBFBC,3,0.125,0.125,6.74E-05
BBFCD,3,0.125,0.125,6.74E-05
FDDEE,3,0.125,0.125,6.74E-05
EBDDD,3,0.125,0.125,6.74E-05
FDDBC,3,0.125,0.125,6.74E-05
HHCBH,3,0.125,0.125,6.74E-05
HHCCB,4,0.125,0.166666667,8.99E-05
HHCDC,5,0.125,0.208333333,1.12E-04
CCBEC,3,0.125,0.125,6.74E-05
CCBFF,4,0.125,0.166666667,8.99E-05
CCDHH,3,0.125,0.125,6.74E-05
CCDFF,4,0.125,0.166666667,8.99E-05
DEDDC,4,0.125,0.166666667,8.99E-05
DEDBB,6,0.125,0.25,1.35E-04
BBGGG,5,0.125,0.208333333,1.12E-04
EBEEB,3,0.125,0.125,6.74E-05
EBECD,3,0.125,0.125,6.74E-05
BFBBB,7,0.125,0.291666667,1.57E-04
BFBBC,3,0.125,0.125,6.74E-05
BHHDD,3,0.125,0.125,6.74E-05
DFFHH,3,0.125,0.125,6.74E-05
CBBFD,3,0.125,0.125,6.74E-05
DDBDF,7,0.125,0.291666667,1.57E-04
DDBDB,3,0.125,0.125,6.74E-05
DDBDC,3,0.125,0.125,6.74E-05
EFBBB,4,0.125,0.166666667,8.99E-05
CBBDE,3,0.125,0.125,6.74E-05
CBBDC,6,0.125,0.25,1.35E-04
CBBEC,5,0.125,0.208333333,1.12E-04
DDBCD,7,0.125,0.291666667,1.57E-04
CBBBF,4,0.125,0.166666667,8.99E-05
CCEEB,5,0.125,0.208333333,1.12E-04
CDHHH,3,0.125,0.125,6.74E-05
DEECC,4,0.125,0.166666667,8.99E-05
CCEFF,3,0.125,0.125,6.74E-05
BBHHD,3,0.125,0.125,6.74E-05
CCECF,4,0.125,0.166666667,8.99E-05
DEEBE,7,0.125,0.291666667,1.57E-04
CCEBB,6,0.125,0.25,1.35E-04
FCCFF,3,0.125,0.125,6.74E-05
FCCED,3,0.125,0.125,6.74E-05
BFCBC,3,0.125,0.125,6.74E-05
BFCCD,4,0.125,0.166666667,8.99E-05
BFCDD,3,0.125,0.125,6.74E-05
CBCHH,3,0.125,0.125,6.74E-05
CBCFD,4,0.125,0.166666667,8.99E-05
DDCDB,3,0.125,0.125,6.74E-05
EFCBB,3,0.125,0.125,6.74E-05
DDCEF,6,0.125,0.25,1.35E-04
CBCDB,5,0.125,0.208333333,1.12E-04
DEFFC,3,0.125,0.125,6.74E-05
CBCBD,3,0.125,0.125,6.74E-05
CCFCF,4,0.125,0.166666667,8.99E-05
CCFDB,3,0.125,0.125,6.74E-05
HHHBD,3,0.125,0.125,6.74E-05
FCDFF,3,0.125,0.125,6.74E-05
BFDDD,3,0.125,0.125,6.74E-05
BGGCC,3,0.125,0.125,6.74E-05
DDDFC,3,0.125,0.125,6.74E-05
FBBDB,3,0.125,0.125,6.74E-05
FBBCD,5,0.125,0.208333333,1.12E-04
FBBBH,3,0.125,0.125,6.74E-05
BEBBE,3,0.125,0.125,6.74E-05
DDCHH,3,0.125,0.125,6.74E-05
HBHHH,4,0.125,0.166666667,8.99E-05
EEBCC,4,0.125,0.166666667,8.99E-05
DCBCB,5,0.125,0.208333333,1.12E-04
DCBDB,3,0.125,0.125,6.74E-05
DCBDD,9,0.125,0.375,2.02E-04
DEHHH,3,0.125,0.125,6.74E-05
DCBBE,4,0.125,0.166666667,8.99E-05
DDEBC,4,0.125,0.166666667,8.99E-05
DDEBD,3,0.125,0.125,6.74E-05
CBEEC,7,0.125,0.291666667,1.57E-04
FCFFF,3,0.125,0.125,6.74E-05
BECDB,3,0.125,0.125,6.74E-05
BFFFB,3,0.125,0.125,6.74E-05
DCCEE,8,0.125,0.333333333,1.80E-04
EECCE,5,0.125,0.208333333,1.12E-04
EFFFC,5,0.125,0.208333333,1.12E-04
CBFCC,7,0.125,0.291666667,1.57E-04
CBFCB,4,0.125,0.166666667,8.99E-05
BEDDE,11,0.125,0.458333333,2.47E-04
EEDEC,3,0.125,0.125,6.74E-05
DCDFD,4,0.125,0.166666667,8.99E-05
DCDCB,5,0.125,0.208333333,1.12E-04
CBGGG,3,0.125,0.125,6.74E-05
CBGGC,3,0.125,0.125,6.74E-05
CFBCC,3,0.125,0.125,6.74E-05
CFBBC,7,0.125,0.291666667,1.57E-04
CFBBF,3,0.125,0.125,6.74E-05
BEEEE,3,0.125,0.125,6.74E-05
BEEED,3,0.125,0.125,6.74E-05
BDBCD,3,0.125,0.125,6.74E-05
BEEFE,6,0.125,0.25,1.35E-04
CHHHB,3,0.125,0.125,6.74E-05
BEEBB,5,0.125,0.208333333,1.12E-04
EEEHH,4,0.125,0.166666667,8.99E-05
DBBFC,3,0.125,0.125,6.74E-05
FFBBC,3,0.125,0.125,6.74E-05
EEEEE,5,0.125,0.208333333,1.12E-04
EEEEF,3,0.125,0.125,6.74E-05
DCEEF,6,0.125,0.25,1.35E-04
EEECB,3,0.125,0.125,6.74E-05
EEECC,8,0.125,0.333333333,1.80E-04
DCEFF,3,0.125,0.125,6.74E-05
DBBCE,3,0.125,0.125,6.74E-05
DCEFB,5,0.125,0.208333333,1.12E-04
DCECE,3,0.125,0.125,6.74E-05
DCECD,4,0.125,0.166666667,8.99E-05
CFCBD,4,0.125,0.166666667,8.99E-05
CFCBG,3,0.125,0.125,6.74E-05
CFCDB,4,0.125,0.166666667,8.99E-05
BDCFC,4,0.125,0.166666667,8.99E-05
BDCCC,3,0.125,0.125,6.74E-05
DFBBBB,4,0.125,0.166666667,8.99E-05
DFBBBC,4,0.125,0.166666667,8.99E-05
BBBEED,5,0.125,0.208333333,1.12E-04
DFBBCC,3,0.125,0.125,6.74E-05
BBBECD,3,0.125,0.125,6.74E-05
BCCBCC,6,0.125,0.25,1.35E-04
CDBCDD,3,0.125,0.125,6.74E-05
CDBCFC,5,0.125,0.208333333,1.12E-04
CFFCDD,3,0.125,0.125,6.74E-05
ECDDEE,3,0.125,0.125,6.74E-05
BCDDDC,3,0.125,0.125,6.74E-05
BCDDCF,3,0.125,0.125,6.74E-05
BBBDDE,4,0.125,0.166666667,8.99E-05
BCDDBC,4,0.125,0.166666667,8.99E-05
HHDDDD,3,0.125,0.125,6.74E-05
FFFCFF,3,0.125,0.125,6.74E-05
FFFCCC,7,0.125,0.291666667,1.57E-04
CDCEED,4,0.125,0.166666667,8.99E-05
CFFBBB,4,0.125,0.166666667,8.99E-05
CDBBCD,4,0.125,0.166666667,8.99E-05
ECCBBB,7,0.125,0.291666667,1.57E-04
ECCBBC,3,0.125,0.125,6.74E-05
BCCDDD,4,0.125,0.166666667,8.99E-05
BCCDDB,4,0.125,0.166666667,8.99E-05
ECDBBB,4,0.125,0.166666667,8.99E-05
EBBBCC,3,0.125,0.125,6.74E-05
EBBBBE,4,0.125,0.166666667,8.99E-05
EBBBBC,3,0.125,0.125,6.74E-05
BCCCBD,3,0.125,0.125,6.74E-05
CEDDCE,3,0.125,0.125,6.74E-05
CEDDEC,3,0.125,0.125,6.74E-05
DFDDBB,3,0.125,0.125,6.74E-05
BBCDCE,3,0.125,0.125,6.74E-05
BBCDCD,5,0.125,0.208333333,1.12E-04
BCEDDE,3,0.125,0.125,6.74E-05
CDDEBB,5,0.125,0.208333333,1.12E-04
CDCBCF,3,0.125,0.125,6.74E-05
BCFFCD,4,0.125,0.166666667,8.99E-05
BBCCFF,5,0.125,0.208333333,1.12E-04
BBCCFB,5,0.125,0.208333333,1.12E-04
BBCCFD,4,0.125,0.166666667,8.99E-05
BBCCED,3,0.125,0.125,6.74E-05
BBCCDB,3,0.125,0.125,6.74E-05
CDDDEC,5,0.125,0.208333333,1.12E-04
DEBBBB,4,0.125,0.166666667,8.99E-05
BBCFCB,4,0.125,0.166666667,8.99E-05
BBBCFD,4,0.125,0.166666667,8.99E-05
BCDCBC,6,0.125,0.25,1.35E-04
BCDCBB,5,0.125,0.208333333,1.12E-04
DFFHHH,3,0.125,0.125,6.74E-05
BBBCBC,11,0.125,0.458333333,2.47E-04
BBBCBF,3,0.125,0.125,6.74E-05
FDDBBB,5,0.125,0.208333333,1.12E-04
FCBBDD,3,0.125,0.125,6.74E-05
CDCDCC,5,0.125,0.208333333,1.12E-04
BBBBDC,4,0.125,0.166666667,8.99E-05
BBBBBH,6,0.125,0.25,1.35E-04
BDHHHH,3,0.125,0.125,6.74E-05
FCBCBC,3,0.125,0.125,6.74E-05
BBBBFC,3,0.125,0.125,6.74E-05
FCBCFC,3,0.125,0.125,6.74E-05
FCBCDD,3,0.125,0.125,6.74E-05
CDDFBB,3,0.125,0.125,6.74E-05
CEECBB,4,0.125,0.166666667,8.99E-05
CDDFFC,3,0.125,0.125,6.74E-05
CEECCB,3,0.125,0.125,6.74E-05
FCCCDD,3,0.125,0.125,6.74E-05
BBDCBB,4,0.125,0.166666667,8.99E-05
BCFCFC,5,0.125,0.208333333,1.12E-04
FCCCBC,3,0.125,0.125,6.74E-05
FCCCCB,5,0.125,0.208333333,1.12E-04
BCFCDD,3,0.125,0.125,6.74E-05
CCCDCD,4,0.125,0.166666667,8.99E-05
CCCDBC,4,0.125,0.166666667,8.99E-05
DECBBB,4,0.125,0.166666667,8.99E-05
CDEDDD,3,0.125,0.125,6.74E-05
HHHHHE,3,0.125,0.125,6.74E-05
FCCDCE,3,0.125,0.125,6.74E-05
FCCDDC,3,0.125,0.125,6.74E-05
FCCDCC,3,0.125,0.125,6.74E-05
BBEEFE,4,0.125,0.166666667,8.99E-05
DEDDDE,3,0.125,0.125,6.74E-05
CDECBB,3,0.125,0.125,6.74E-05
DEDDCD,3,0.125,0.125,6.74E-05
CCCCBD,4,0.125,0.166666667,8.99E-05
CDECDD,3,0.125,0.125,6.74E-05
FCDDCE,5,0.125,0.208333333,1.12E-04
FCDDDD,4,0.125,0.166666667,8.99E-05
FCDDDC,6,0.125,0.25,1.35E-04
BBDEBB,3,0.125,0.125,6.74E-05
EHHHHH,4,0.125,0.166666667,8.99E-05
BBCBCD,6,0.125,0.25,1.35E-04
BBCBBD,3,0.125,0.125,6.74E-05
CCCFCD,4,0.125,0.166666667,8.99E-05
CCCFFC,6,0.125,0.25,1.35E-04
CDDCEB,3,0.125,0.125,6.74E-05
CDDCDC,4,0.125,0.166666667,8.99E-05
CDDCCE,5,0.125,0.208333333,1.12E-04
DECDDD,3,0.125,0.125,6.74E-05
CDDCFC,4,0.125,0.166666667,8.99E-05
BBDDDF,3,0.125,0.125,6.74E-05
BBDDDC,8,0.125,0.333333333,1.80E-04
BBDDBD,3,0.125,0.125,6.74E-05
BBDDCB,3,0.125,0.125,6.74E-05
BBDDFF,4,0.125,0.166666667,8.99E-05
CCBBBE,4,0.125,0.166666667,8.99E-05
CCCEEC,6,0.125,0.25,1.35E-04
CCBBBF,4,0.125,0.166666667,8.99E-05
CCBBDD,5,0.125,0.208333333,1.12E-04
CDDBCC,4,0.125,0.166666667,8.99E-05
DECCBB,3,0.125,0.125,6.74E-05
FBBBDD,4,0.125,0.166666667,8.99E-05
FBBBCC,3,0.125,0.125,6.74E-05
FBBBCF,3,0.125,0.125,6.74E-05
DEEDDB,4,0.125,0.166666667,8.99E-05
CBCFCF,4,0.125,0.166666667,8.99E-05
CBCFCD,4,0.125,0.166666667,8.99E-05
CBBCCB,5,0.125,0.208333333,1.12E-04
CBBCFC,4,0.125,0.166666667,8.99E-05
CBBCFF,3,0.125,0.125,6.74E-05
CCDCDC,3,0.125,0.125,6.74E-05
BHHHHB,3,0.125,0.125,6.74E-05
BHHHHC,3,0.125,0.125,6.74E-05
FBBCCC,3,0.125,0.125,6.74E-05
FCDCBC,3,0.125,0.125,6.74E-05
FCDCBB,3,0.125,0.125,6.74E-05
BBGGBB,4,0.125,0.166666667,8.99E-05
DFFCDD,3,0.125,0.125,6.74E-05
DEECCB,3,0.125,0.125,6.74E-05
DDCCCB,4,0.125,0.166666667,8.99E-05
DDDFFB,4,0.125,0.166666667,8.99E-05
DDDFDD,4,0.125,0.166666667,8.99E-05
CCEECD,3,0.125,0.125,6.74E-05
CBBBBF,4,0.125,0.166666667,8.99E-05
CBBBDB,4,0.125,0.166666667,8.99E-05
CCDBBB,3,0.125,0.125,6.74E-05
CCDBBC,3,0.125,0.125,6.74E-05
HHHCCB,4,0.125,0.166666667,8.99E-05
HHHBHH,4,0.125,0.166666667,8.99E-05
DDBCDD,4,0.125,0.166666667,8.99E-05
DDBCCD,3,0.125,0.125,6.74E-05
DDBCCB,3,0.125,0.125,6.74E-05
DDBCBC,3,0.125,0.125,6.74E-05
CCCBDC,5,0.125,0.208333333,1.12E-04
DDCFCB,4,0.125,0.166666667,8.99E-05
CCCBBD,4,0.125,0.166666667,8.99E-05
CCCBCB,3,0.125,0.125,6.74E-05
BBFFBB,5,0.125,0.208333333,1.12E-04
HHHBBH,3,0.125,0.125,6.74E-05
HHHBBF,4,0.125,0.166666667,8.99E-05
BBECDD,3,0.125,0.125,6.74E-05
BBFFFC,3,0.125,0.125,6.74E-05
BBFFDD,4,0.125,0.166666667,8.99E-05
DDBBCE,3,0.125,0.125,6.74E-05
DDBBCD,4,0.125,0.166666667,8.99E-05
DEEEEC,3,0.125,0.125,6.74E-05
DDDHHH,5,0.125,0.208333333,1.12E-04
DDCEEF,6,0.125,0.25,1.35E-04
DDBBBE,3,0.125,0.125,6.74E-05
DDCEDE,4,0.125,0.166666667,8.99E-05
CCDDBC,3,0.125,0.125,6.74E-05
CBBDDC,3,0.125,0.125,6.74E-05
DDCEBB,5,0.125,0.208333333,1.12E-04
CCDDFF,3,0.125,0.125,6.74E-05
EEBBBC,3,0.125,0.125,6.74E-05
DDDCEB,4,0.125,0.166666667,8.99E-05
DDDCCF,6,0.125,0.25,1.35E-04
DCBCDC,7,0.125,0.291666667,1.57E-04
DCBCCC,3,0.125,0.125,6.74E-05
CCEBBB,4,0.125,0.166666667,8.99E-05
CCFDDC,3,0.125,0.125,6.74E-05
EECFFC,3,0.125,0.125,6.74E-05
DDDBBF,3,0.125,0.125,6.74E-05
DDDBBD,4,0.125,0.166666667,8.99E-05
DDDBCD,3,0.125,0.125,6.74E-05
DDDBCC,3,0.125,0.125,6.74E-05
DCBBBC,4,0.125,0.166666667,8.99E-05
DCBBBD,3,0.125,0.125,6.74E-05
DCBBCF,3,0.125,0.125,6.74E-05
DCCEEC,3,0.125,0.125,6.74E-05
CBDDDC,3,0.125,0.125,6.74E-05
EECCEE,4,0.125,0.166666667,8.99E-05
EECCDD,3,0.125,0.125,6.74E-05
EECCDC,3,0.125,0.125,6.74E-05
EFFFCC,5,0.125,0.208333333,1.12E-04
DDCBCB,4,0.125,0.166666667,8.99E-05
DDDEEC,3,0.125,0.125,6.74E-05
CBCDCB,8,0.125,0.333333333,1.80E-04
CBCDBB,3,0.125,0.125,6.74E-05
CCECFC,3,0.125,0.125,6.74E-05
FCFCBC,3,0.125,0.125,6.74E-05
EECDEC,3,0.125,0.125,6.74E-05
BBHHDD,3,0.125,0.125,6.74E-05
DDDDFF,6,0.125,0.25,1.35E-04
DDDDEB,4,0.125,0.166666667,8.99E-05
DDDDBD,3,0.125,0.125,6.74E-05
DDDDBC,3,0.125,0.125,6.74E-05
CBCCBD,3,0.125,0.125,6.74E-05
CBCCDC,4,0.125,0.166666667,8.99E-05
CBCCFC,4,0.125,0.166666667,8.99E-05
BGGBBC,4,0.125,0.166666667,8.99E-05
EEDDBB,3,0.125,0.125,6.74E-05
DDEBBB,6,0.125,0.25,1.35E-04
DDEBBC,3,0.125,0.125,6.74E-05
DDEBBD,3,0.125,0.125,6.74E-05
DCCBCD,4,0.125,0.166666667,8.99E-05
DCCBCC,3,0.125,0.125,6.74E-05
EEEHHH,4,0.125,0.166666667,8.99E-05
EECBBC,5,0.125,0.208333333,1.12E-04
CFCFCC,4,0.125,0.166666667,8.99E-05
CFCFCD,3,0.125,0.125,6.74E-05
CFCFCB,3,0.125,0.125,6.74E-05
HFHHHH,4,0.125,0.166666667,8.99E-05
DCDDCB,3,0.125,0.125,6.74E-05
DCDDDB,3,0.125,0.125,6.74E-05
